epoch,train_loss,val_loss
1,1.5910842802427108,2.798195360394257
2,1.3361437855748435,2.9347675954287333
3,1.2423590222196261,3.197540636687527
4,1.1830095183704135,3.2095429766791295
5,1.1515865506326717,3.2310669622252957
