epoch,train_loss,val_loss
1,1.3395973695806151,1.5519721843702616
2,0.9648216358082429,1.834065361594722
3,0.7739244767441357,2.098655590579647
4,0.6467350574143649,2.34056404755197
5,0.5571705977794779,2.485776222864947
6,0.4908224571595789,2.657649499902718
7,0.43939932353315164,2.812670685558443
8,0.39856581480179537,2.918800021223982
9,0.36587063735650893,3.0429019660260015
10,0.3389565614795405,3.1456462104531084
11,0.3163042662047692,3.237631721314218
12,0.29706317880621796,3.2996838809833626
13,0.2808093603774758,3.383088309221284
14,0.267012980697403,3.473909274940714
15,0.2555213648393274,3.5302609945885264
16,0.2461285145440034,3.5769376264571937
17,0.23877121469540588,3.603219877571914
18,0.23331489641946096,3.625988115427423
19,0.22966640173826328,3.6479719104467248
20,0.22771993979044802,3.655883645570868
